time,day,pickup,dropoff,probability
1440,1,23,77,0.0033810356769702165
1440,1,64,2,1.173970721170214e-05
1440,1,84,77,0.01947617426421385
1440,1,39,77,0.006222044822202134
1440,1,91,77,0.012819760275178737
1440,1,98,77,0.028762282668670244
1440,1,83,77,0.0015144222303095762
1440,1,4,2,7.043824327021284e-05
1440,1,30,77,0.0002817529730808514
1440,1,35,2,1.173970721170214e-05
1440,1,40,2,1.173970721170214e-05
1440,1,12,77,0.0001408764865404257
1440,1,64,77,0.009826134936194691
1440,1,87,2,1.173970721170214e-05
1440,1,92,2,1.173970721170214e-05
1440,1,63,77,0.005318087366901069
1440,1,56,77,0.011504913067468097
1440,1,61,77,0.0312745800119745
1440,1,74,2,1.173970721170214e-05
1440,1,80,77,0.009673518742442563
1440,1,79,77,0.005799415362580857
1440,1,36,77,0.0004578485812563835
1440,1,34,77,0.020826240593559597
1440,1,19,77,0.04198119298904685
1440,1,43,77,0.011457954238621289
1440,1,52,77,0.0009509162841478733
1440,1,99,2,0.0021366267125297895
1440,1,22,2,1.173970721170214e-05
1440,1,35,77,0.011927542527089375
1440,1,51,2,1.173970721170214e-05
1440,1,89,2,0.004202815181789366
1440,1,16,77,0.011610570432373417
1440,1,1,2,0.00043436916683297917
1440,1,8,77,0.0031345018255244713
1440,1,13,77,0.01524987966800108
1440,1,22,77,0.0026296944154212795
1440,1,74,77,0.008476068606848946
1440,1,50,77,0.011387515995351077
1440,1,57,77,0.00976743640013618
1440,1,31,77,0.004977635857761707
1440,1,29,77,0.0005635059461617028
1440,1,34,2,1.173970721170214e-05
1440,1,81,77,0.0003169720947159578
1440,1,90,77,0.021812375999342576
1440,1,65,2,1.173970721170214e-05
1440,1,73,77,0.02716568248787875
1440,1,86,2,2.347941442340428e-05
1440,1,15,2,0.0008569986264542562
1440,1,46,77,0.00022305443702234066
1440,1,4,77,0.017304328430048956
1440,1,2,77,0.00046958828846808563
1440,1,70,77,0.009603080499172351
1440,1,5,2,1.173970721170214e-05
1440,1,53,77,0.016376891560324486
1440,1,62,77,0.00498937556497341
1440,1,10,2,1.173970721170214e-05
672,1,41,2,0.0003495688650664181
672,1,96,77,0.0745746912141692
672,1,93,2,0.00023304591004427873
672,1,27,2,0.00011652295502213937
672,1,9,77,0.02155674667909578
672,1,76,77,0.012118387322302493
672,1,42,77,0.03460731764157539
672,1,59,77,0.0015147984152878117
672,1,17,2,0.00011652295502213937
672,1,25,77,0.002563505010487066
672,1,38,2,0.0008156606851549756
672,1,92,77,0.011768818457236076
672,1,69,2,0.0019808902353763693
672,1,55,2,0.00011652295502213937
672,1,75,77,0.04276392449312515
672,1,51,77,0.003146119785597763
672,1,32,77,0.011768818457236076
672,1,5,77,0.007573992076439058
672,1,14,77,0.005360055931018411
672,1,55,77,0.0003495688650664181
672,1,48,77,0.010487065951992542
672,1,47,77,0.01957585644371941
672,1,97,77,0.003961780470752739
672,1,28,77,0.00011652295502213937
672,1,11,77,0.01619669074807737
672,1,20,77,0.015381030062922395
672,1,72,77,0.01083663481705896
672,1,86,77,0.027965509205313446
672,1,44,77,0.00897226753670473
672,1,95,77,0.014448846422745281
672,1,88,77,0.0015147984152878117
672,1,93,77,0.0009321836401771149
672,1,85,77,0.01118620368212538
672,1,7,77,0.00011652295502213937
672,1,0,77,0.0328594733162433
672,1,68,77,0.009205313446749009
672,1,2,2,0.021323700769051504
672,1,49,77,0.0017478443253320904
672,1,58,77,0.024469820554649267
672,1,33,2,0.0013982754602656724
672,1,82,77,0.00897226753670473
672,1,67,77,0.00046609182008855747
672,1,65,77,0.008739221626660453
672,1,24,77,0.008040083896527616
672,1,21,77,0.0005826147751106968
672,1,71,2,0.0011652295502213937
672,1,40,77,0.0032626427406199023
672,1,45,77,0.0037287345607084597
672,1,54,77,0.0038452575157305988
672,1,37,77,0.01083663481705896
672,1,87,77,0.020857608948962946
672,1,3,77,0.006758331391284083
672,1,10,77,0.001281752505243533
672,1,78,77,0.0024469820554649264
672,1,60,77,0.004311349335819156
672,1,17,77,0.006408762526217665
672,1,94,77,0.00908879049172687
672,1,42,2,0.00011652295502213937
672,1,6,77,0.0005826147751106968
672,1,23,77,0.004194826380797017
672,1,84,77,0.003146119785597763
672,1,39,77,0.004893964110929853
672,1,91,77,0.006991377301328362
672,1,98,77,0.039501281752505245
672,1,83,77,0.003961780470752739
672,1,30,77,0.0003495688650664181
672,1,12,77,0.013167093917501748
672,1,64,77,0.01083663481705896
672,1,63,77,0.001281752505243533
672,1,56,77,0.009205313446749009
672,1,61,77,0.003495688650664181
672,1,80,77,0.01619669074807737
672,1,79,77,0.005360055931018411
672,1,36,77,0.0005826147751106968
672,1,34,77,0.052202283849918436
672,1,19,77,0.019226287578652995
672,1,43,77,0.00011652295502213937
672,1,52,77,0.0030295968305756233
672,1,50,77,0.01852714984852016
672,1,35,77,0.01246795618736891
672,1,89,2,0.0023304591004427873
672,1,16,77,0.008156606851549755
672,1,1,2,0.0026800279655092053
672,1,8,77,0.0024469820554649264
672,1,13,77,0.003961780470752739
672,1,22,77,0.0072244232113726405
672,1,74,77,0.00046609182008855747
672,1,99,2,0.0038452575157305988
672,1,57,77,0.01270100209741319
672,1,31,77,0.00559310184106269
672,1,29,77,0.00046609182008855747
